"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"2","","0","Graph functionality","22","0","","0"
"0","","0","Launch Page - dsAlgo Portal","5","0","","0"
"2","","0","TreePage Functionality","18","0","","0"
"0","","0","Array functionality","68","0","","0"
"0","","0","Home Page - DS Algo Portal","27","0","","0"
"0","","0","Stack Data Structure","20","0","","0"
"3","","0","QueuePage Functionality","16","0","","0"
"0","","0","Functional - Sign In","14","0","","0"
"0","","0","User Registration Flow (Data Driven)","5","0","","0"
"0","","0","Data Structures","7","0","","0"
