"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2012","Verify Register navigation","","2026-04-08","passed","2026-04-08","","","",""
"","5091","Verify Applications of Array real world use cases","","2026-04-08","passed","2026-04-08","","","",""
"","4435","Verify Array page description","","2026-04-08","passed","2026-04-08","","","",""
"","1183","Open dsAlgo portal","","2026-04-08","passed","2026-04-08","","","",""
"","5151","Verify customer telephone numbers","","2026-04-08","passed","2026-04-08","","","",""
"","2197","Auto focus on username","","2026-04-08","passed","2026-04-08","","","",""
"","3988","Verify Array page heading","","2026-04-08","passed","2026-04-08","","","",""
"","5179","Verify grocery list example","","2026-04-08","passed","2026-04-08","","","",""
"","6757","Verify that user gets alert when running without input in Try Editor","","2026-04-08","passed","2026-04-08","","","",""
"","2074","Verify alert for dropdown (not logged in)","","2026-04-08","passed","2026-04-08","","","",""
"","2965","Verify alert for cards (not logged in)","","2026-04-08","passed","2026-04-08","","","",""
"","2161","Verify alert for dropdown (not logged in)","","2026-04-08","passed","2026-04-08","","","",""
"","7312","Verify Find Numbers with Even Number of Digits question","","2026-04-08","passed","2026-04-08","","","",""
"","7192","Verify error message appears for invalid code","","2026-04-08","broken","2026-04-08","","","",""
"","1029","Verify presence of Get Started button","","2026-04-08","passed","2026-04-08","","","",""
"","16012","Verify user navigates to Arrays Using List page","","2026-04-08","passed","2026-04-08","","","",""
"","4920","Verify employee list","","2026-04-08","passed","2026-04-08","","","",""
"","5299","Verify that user is able to see Adjacency List","","2026-04-08","passed","2026-04-08","","","",""
"","5445","Verify remove method example","","2026-04-08","passed","2026-04-08","","","",""
"","4978","Verify sidebar contains correct links","","2026-04-08","passed","2026-04-08","","","",""
"","1243","Verify page title","","2026-04-08","passed","2026-04-08","","","",""
"","2006","Verify title of page","","2026-04-08","passed","2026-04-08","","","",""
"","3958","Verify navigation after login","","2026-04-08","passed","2026-04-08","","","",""
"","4208","Verify that user is able to see graph implementation details","","2026-04-08","passed","2026-04-08","","","",""
"","4389","Verify Graph page content is visible","","2026-04-08","passed","2026-04-08","","","",""
"","1845","Only username entered","","2026-04-08","passed","2026-04-08","","","",""
"","3296","Verify that user is able to navigate to Login page","","2026-04-08","passed","2026-04-08","","","",""
"","9497","Verify that user is able to see output after running code in Try Editor","","2026-04-08","passed","2026-04-08","","","",""
"","6583","Verify output for search example","","2026-04-08","passed","2026-04-08","","","",""
"","6498","Verify Search the array question","","2026-04-08","passed","2026-04-08","","","",""
